Sample_ID_Gt,SiO2_Gt,TiO2_Gt,Al2O3_Gt,Cr2O3_Gt,FeOt_Gt,MnO_Gt,MgO_Gt,CaO_Gt,Na2O_Gt,Ti_Gt,Ni_Gt,Zn_Gt,Ga_Gt,Sr_Gt,Y_Gt,Zr_Gt
173/034/K001/167,43.5,0.08,20.68,2.24,7.97,0.21,19.74,4.73,0,479.587554703,13.06,12.4,3.32,,3.36,0.26
173/034/0021/2,42.27,0,21.61,2.93,7.97,0.47,19.96,4.69,0.04,0,13.09,7.71,1.74,,4.83,7.82
COY553,42.46,0.12,21.24,3.56,6.22,0.44,22.14,4.06,-0.99,1200,13.1,,0.58,,40,51.7
COY554,42.08,0.11,21.36,3.6,6.93,0.48,21.02,4.91,-0.99,1100,13.1,,0.96,,5.5,39.4
COY553,42.49,0.07,22.37,2.6,7.07,0.49,20.14,4.95,-0.99,700,13.1,,1.5,,1.8,4.6
COY553,42.17,0.09,21.62,3.71,7.11,0.4,21.39,4.71,-0.99,900,13.1,,1.32,,0.95,31.8
COY553,42.94,0.1,22.41,2.7,7.06,0.47,19.74,4.98,-0.99,1000,13.1,,1.49,,1.95,5.8
173/034/K001/167,43,0.12,20.73,4.19,6.84,0.18,19.74,5.58,0,719.381332054,13.2,12.37,3.23,,14.14,20.86
COY570,42.11,0.09,21.41,3.67,6.84,0.48,21.77,4.72,-0.99,900,13.2,,1.18,,10.2,43
COY553,42.75,0.08,21.9,2.65,7.22,0.39,20.96,4.7,-0.99,800,13.2,,1.43,,3,18.9
173/034/K001/167,43.59,0.04,21.5,2.06,7.46,0.17,20.49,4.56,0,239.793777351,13.21,12.47,2.8,,7.28,2.03
173/034/K001/167,43.07,0.04,22.32,1.91,7.34,0.16,20.46,4.64,0,239.793777351,13.24,12.68,3.23,,8.14,0.88
173/034/K001/167,43.11,0.1,21.53,2.48,8.98,0.33,19.18,4.68,0,599.484443379,13.28,12.78,4.44,,16.04,39.34
173/033/K061/73,42.16,0.1,21.7,2.91,7.98,0.42,20.25,4.52,0,599.484443379,13.3,22.6,3.67,,13.47,8.05
COY556,41.93,0.2,21.74,2.44,8.89,0.58,19.64,4.5,-0.99,2000,13.3,,3.2,,28,33.9
COY553,42.5,0.08,22.1,2.64,7.18,0.4,21.24,4.62,-0.99,800,13.3,,1.55,,3.1,18.7
COY553,42.86,0.09,22.08,2.72,7.13,0.38,21.27,4.65,-0.99,900,13.3,,1.36,,3.3,20.2
173/034/K001/167,42.7,0.11,21.42,3.02,8.3,0.34,19.32,4.95,0,659.432887717,13.32,11.92,3.63,,2.57,0.43
173/034/K001/167,42.93,0.25,21.46,2.93,7.66,0.2,19.79,5.08,0,1498.71110845,13.34,13.85,5.43,,18.58,9.63
173/034/K001/167,43.58,0.07,21.69,2.2,7.91,0.18,20.21,5.09,0,419.639110365,13.36,12.22,2.92,,10.19,1.93
173/034/K001/167,42.55,0.11,21.73,2.56,8.14,0.29,19.74,4.72,0,659.432887717,13.39,12.46,5.32,,12.93,15.12
COY557,42.41,0.13,20.78,4.32,6.5,0.41,21.8,4.47,-0.99,1300,13.4,,1.11,,41.9,72.7
COY553,42.13,0.07,22.39,2.59,7.22,0.36,20.88,4.8,-0.99,700,13.4,,1.47,,1.4,3.6
COY553,42.75,0.07,22.35,2.61,7.09,0.35,21.15,4.85,-0.99,700,13.4,,1.49,,1.32,2.5
173/034/0021/2,42.37,0.01,22.37,2.38,7.96,0.47,19.45,4.32,0.03,59.9484443379,13.41,7.38,2.54,,6.47,26.77
173/034/K001/167,43.01,0.1,21.2,2.46,8.27,0.28,19.44,4.6,0,599.484443379,13.42,13.78,3.89,,5.82,0.87
173/034/K001/167,42.51,0.1,21.04,3.4,7.48,0.27,19.57,5.41,0,599.484443379,13.44,12.49,3.21,,2.47,2.7
Barkley Commonage,41.93,0.01,21.84,2.15,7.55,0.34,21.27,5.5,,27.93,13.5,,1.487,0.01,3.93,0.296
