,Sample I.D.,XAn,XAb,"T
(°C)","P
(bars)","Viscosity
(log10 Pa s)",SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,H2O_Liq,Total,Source,T_K,P_kbar
103,MLV44_750_200_96,0.275,0.659,750,2000,4.83,76.89025578826535,0.11695653115592035,13.826861016655473,1.1435749713023324,0.11912239284399298,0.9183253557427822,3.5411838599987004,4.884018106603711,6.047601693855534,92.3,Waters et al. (in review),1023.15,2.0
104,MLV44_800_100_72,0.245,0.65,800,1000,5.03,75.712967303641,0.16806735923472788,13.088517925697584,1.1402095972945434,0.14796122192818384,0.8523191090723826,4.049588664128289,4.804211894538848,4.108438939258712,95.2,Waters et al. (in review),1073.15,1.0
105,MLV36_900_50_48,0.337,0.544,900,500,4.94,73.7810074423716,0.25002116342822084,13.821721139147197,1.6848319038378428,0.2436651656662011,1.2482101686857647,4.261296926475509,4.588556472064415,2.586393298341146,97.8,Waters et al. (in review),1173.15,0.5
106,MLV36_750_220_48,0.424,0.542,750,2200,4.98,76.86285265117421,0.1384033732140606,14.084967547952825,0.7984337382212084,0.12337288469468091,1.1769385561483436,3.022946039089404,3.755101213523512,6.197027048502511,92.9,Waters et al. (in review),1023.15,2.2
107,#16,0.7627416994886187,0.23606805005569612,1220,1,2.6890607513438756,50.77,1.31,15.04,8.4,8.74,12.27,1.65,0.07,0.0,98.25,Aigner-Torres et al. (2007),1493.15,0.001
108,#17,0.7569685064912761,0.24124794359105736,1200,1,2.8538480396243284,51.35,1.5,13.86,8.9,8.88,12.29,1.44,0.07,0.0,98.28999999999999,Aigner-Torres et al. (2007),1473.15,0.001
109,#28,0.7353732826787498,0.2634435081380379,1180,1,2.9952316642695003,49.81,1.42,14.51,9.63,8.68,12.18,2.21,0.08,0.0,98.52000000000001,Aigner-Torres et al. (2007),1453.15,0.001
110,#33,0.7674959440339363,0.2307180851079347,1200,1,2.8321067605868655,49.76,1.32,15.4,8.9,8.69,12.13,2.37,0.1,0.0,98.67,Aigner-Torres et al. (2007),1473.15,0.001
111,#36,0.7347204417582803,0.26407708746752023,1180,1,3.074970005254816,51.93,1.71,13.54,8.42,9.34,11.28,2.49,0.1,0.0,98.81,Aigner-Torres et al. (2007),1453.15,0.001
112,#29,0.7550226713042973,0.24378029752456448,1220,1,2.5817508282694703,50.41,1.4,14.2,8.82,9.58,12.06,2.31,0.09,0.0,98.86999999999999,Aigner-Torres et al. (2007),1493.15,0.001
113,#31,0.7726166455234142,0.22558780716939242,1200,1,2.798123239552852,49.97,1.32,15.26,9.04,9.48,12.1,2.3,0.08,0.0,99.55,Aigner-Torres et al. (2007),1473.15,0.001
114,#35,0.7662182362259327,0.2319929393653819,1180,1,3.080671080029252,51.78,1.41,14.82,8.71,9.31,12.3,1.49,0.08,0.0,99.89999999999999,Aigner-Torres et al. (2007),1453.15,0.001
115,#25,0.758466547346185,0.24034441924671282,1180,1,2.964949177837695,50.64,1.47,14.14,9.72,9.73,12.08,2.14,0.09,0.0,100.01,Aigner-Torres et al. (2007),1453.15,0.001
116,#F1,0.8302795530072762,0.16972044699272382,1244,1,,47.8,0.55,18.6,8.4,10.4,11.71,2.29,0.09,0.0,99.84000000000002,Bartels et al. (1991),1517.15,0.001
117,#F4,0.8275583957035385,0.17244160429646152,1238,1,,48.6,0.65,17.6,8.83,9.89,11.7,2.32,0.1,0.0,99.68999999999998,Bartels et al. (1991),1511.15,0.001
118,#F3,0.7764379522205009,0.22117632238759274,1229,1,,48.9,0.68,17.2,8.93,9.39,11.7,2.54,0.12,0.0,99.46000000000002,Bartels et al. (1991),1502.15,0.001
119,Blundy 1997,0.732,0.262,1208,1,3.121966022059918,49.52,,19.21,8.29,8.03,8.86,3.88,0.96,0.0,98.75,Blundy (1997),1481.15,0.001
120,816-3-12,0.65,0.35,1190,1,4.481459092818278,67.8,0.48,15.8,3.45,1.91,4.68,4.72,1.17,0.0,100.01,Brugger et al. (2003),1463.15,0.001
121,816-3-11,0.66,0.34,1150,1,4.9170105712464895,69.6,0.64,14.3,4.11,2.25,3.92,3.85,1.34,0.0,100.00999999999999,Brugger et al. (2003),1423.15,0.001
122,Natural B-27,0.62,0.37,1190,1,4.014773399473681,62.4,0.67,16.2,5.28,3.43,6.42,4.51,1.15,0.0,100.06000000000002,Brugger et al. (2003),1463.15,0.001
